"id","question","ground_truth","model_used","generated","bleu","rouge1","rougeL","bert_F1"
"Q001","What is (are) Diabetes in Children and Teens ?","Until recently, the common type of diabetes in children and teens was type 1. It was called juvenile diabetes. With Type 1 diabetes, the pancreas does not make insulin. Insulin is a hormone that helps glucose,or sugar, get into your cells to give them energy. Without insulin, too much sugar stays in the blood.    But now younger people are also getting type 2 diabetes. Type 2 diabetes used to be called adult-onset diabetes. But now it is becoming more common in children and teens, due to more obesity. With Type 2 diabetes, the body does not make or use insulin well.    Children have a higher risk of type 2 diabetes if they are obese, have a family history of diabetes, or are not active, and do not eat well. To lower the risk of type 2 diabetes in children       - Have them maintain a healthy weight    - Be sure they are physically active    - Have them eat smaller portions of healthy foods    - Limit time with the TV, computer, and video       Children and teens with type 1 diabetes may need to take insulin. Type 2 diabetes may be controlled with diet and exercise. If not, patients will need to take oral diabetes medicines or insulin. A blood test called the A1C can check on how you are managing your diabetes.","","[GEN ERROR] Local generation failed: name 'torch' is not defined","1.9031181223974406e-11","0.017543859649122806","0.017543859649122806","0.7930617332458496"
"Q002","Do you have information about Nutritional Support","Summary : Nutritional support is therapy for people who cannot get enough nourishment by eating or drinking. You may need it if you        - Can't swallow    - Have problems with your appetite    - Are severely malnourished    - Can't absorb nutrients through your digestive system       You receive nutritional support through a needle or catheter placed in your vein or with a feeding tube, which goes into your stomach.","","[GEN ERROR] Local generation failed: name 'torch' is not defined","7.061774072241078e-05","0.02702702702702703","0.02702702702702703","0.7895952463150024"
"Q003","Is inherited thyroxine-binding globulin deficiency inherited ?","Inherited thyroxine-binding globulin deficiency has an X-linked pattern of inheritance. The SERPINA7 gene is located on the X chromosome, which is one of the two sex chromosomes.  In males (who have only one X chromosome), a mutation in the only copy of the gene in each cell causes partial or complete inherited thyroxine-binding globulin deficiency. In females (who have two X chromosomes), a mutation in one of the two copies of the gene in each cell reduces the amount of thyroxine-binding globulin. However, their levels of this protein are usually within the normal range.  A characteristic of X-linked inheritance is that fathers cannot pass X-linked traits to their sons.","","[GEN ERROR] Local generation failed: name 'torch' is not defined","1.0589537558914876e-06","0.016","0.016","0.7908977270126343"
"Q004","What are the treatments for What I need to know about Erectile Dysfunction ?","Your doctor can offer you a number of treatments for ED. For many men, the answer is as simple as taking a pill. Other men have to try two or three options before they find a treatment that works for them. Dont give up if the first treatment doesnt work. Finding the right treatment can take time. You may want to talk with your sexual partner about which treatment fits you best as a couple.","","[GEN ERROR] Local generation failed: name 'torch' is not defined","3.173059628709938e-05","0.023529411764705882","0.023529411764705882","0.8113579750061035"
"Q005","What is (are) Gilbert syndrome ?","Gilbert syndrome is a relatively mild condition characterized by periods of elevated levels of a toxic substance called bilirubin in the blood (hyperbilirubinemia). Bilirubin, which has an orange-yellow tint, is produced when red blood cells are broken down. This substance is removed from the body only after it undergoes a chemical reaction in the liver, which converts the toxic form of bilirubin (unconjugated bilirubin) to a nontoxic form called conjugated bilirubin. People with Gilbert syndrome have a buildup of unconjugated bilirubin in their blood (unconjugated hyperbilirubinemia). In affected individuals, bilirubin levels fluctuate and very rarely increase to levels that cause jaundice, which is yellowing of the skin and whites of the eyes.  Gilbert syndrome is usually recognized in adolescence. If people with this condition have episodes of hyperbilirubinemia, these episodes are generally mild and typically occur when the body is under stress, for instance because of dehydration, prolonged periods without food (fasting), illness, vigorous exercise, or menstruation. Some people with Gilbert syndrome also experience abdominal discomfort or tiredness. However, approximately 30 percent of people with Gilbert syndrome have no signs or symptoms of the condition and are discovered only when routine blood tests reveal elevated unconjugated bilirubin levels.","","[GEN ERROR] Local generation failed: name 'torch' is not defined","1.4442956596013393e-10","0.019138755980861247","0.019138755980861247","0.7848339676856995"
"Q006","What are the symptoms of Charcot-Marie-Tooth disease type 2K ?","What are the signs and symptoms of Charcot-Marie-Tooth disease type 2K? The Human Phenotype Ontology provides the following list of signs and symptoms for Charcot-Marie-Tooth disease type 2K. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Areflexia - Autosomal dominant inheritance - Autosomal recessive inheritance - Axonal regeneration - Decreased motor nerve conduction velocity - Decreased number of peripheral myelinated nerve fibers - Distal amyotrophy - Distal muscle weakness - Distal sensory impairment - Infantile onset - Kyphoscoliosis - Proximal muscle weakness - Split hand - Talipes equinovarus - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","","[GEN ERROR] Local generation failed: name 'torch' is not defined","3.966809590047782e-14","0.007117437722419928","0.007117437722419928","0.7786234617233276"
"Q007","What are the treatments for Multiple endocrine neoplasia type 1 ?","How might multiple endocrine neoplasia, type 1 be treated? People with multiple endocrine neoplasia, type 1 (MEN1) are usually managed with regular screening to allow for early diagnosis and treatment of endocrine tumors. This screening begins in early childhood and continues for life. Recommended screening includes specific types of imaging studies every 3-5 years: Head magnetic resonance imaging (MRI scan) begining at age 5. Abdominal computed tomography (CT scan) or abdominal MRI scan beginning at age 20. Annual blood tests are also recommended, which evaluate the levels of certain substances that can be elevated if an MEN1-associated tumor is present: Prolactin concentrations, which can be used to screen for pituitary tumors, are measured beginning at age 5. Calcium concentrations, which can be used to screen for parathyroid tumors, are measured beginning at age 8. Gastrin concentrations, which can be used to screen for gastrinomas (a specific type of gastro-entero-pancreatic tract tumor) are measured beginning at age 20. When a tumor is detected through screening, the best treatment options depend on many factors, including the size, location, and type of tumor; and whether or not the tumor is ""functional"" (releasing hormones). Many tumors are treated with surgery. If a tumor is functional, removal of the affected endocrine gland often resolves health problems that may be present as a result of elevated hormones. In some cases, functional tumors can be treated with medications that block the function or lower the levels of the overproduced hormone. Chemotherapy or radiation therapy may also be used to to shrink or destroy tumors.","","[GEN ERROR] Local generation failed: name 'torch' is not defined","4.705179127527576e-13","0.014760147601476014","0.014760147601476014","0.7851836085319519"
"Q008","Do you have information about Teen Development","Summary : As a teenager, you go through many physical, mental, emotional, and social changes. The biggest change is puberty, the process of becoming sexually mature. It usually happens between ages 10 and 14 for girls and ages 12 and 16 for boys. As your body changes, you may have questions about sexual health.    During this time, you start to develop your own unique personality and opinions. Some changes that you might notice include       - Increased independence from your parents    - More concerns about body image and clothes    - More influence from peers    - Greater ability to sense right and wrong       All of these changes can sometimes seem overwhelming. Some sadness or moodiness can be normal. But feeling very sad, hopeless, or worthless could be warning signs of a mental health problem. If you need help, talk to your parents, school counselor, or health care provider.    Centers for Disease Control and Prevention","","[GEN ERROR] Local generation failed: name 'torch' is not defined","1.4368476528005483e-08","0.012738853503184714","0.012738853503184714","0.7888664603233337"
"Q009","Is ALG12-congenital disorder of glycosylation inherited ?","This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.","","[GEN ERROR] Local generation failed: name 'torch' is not defined","0.0004159513029082128","0.06557377049180327","0.06557377049180327","0.8074650764465332"
"Q010","What are the symptoms of Bantu siderosis ?","What are the signs and symptoms of Bantu siderosis? The Human Phenotype Ontology provides the following list of signs and symptoms for Bantu siderosis. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Elevated transferrin saturation - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","","[GEN ERROR] Local generation failed: name 'torch' is not defined","7.946979790475844e-12","0.008438818565400845","0.008438818565400845","0.7913488745689392"
